t_s,thumb_yaw_deg,thumb_mcp_deg,thumb_pip_deg,index_yaw_deg,index_mcp_deg,index_pip_deg,middle_yaw_deg,middle_mcp_deg,middle_pip_deg,palm_z_mm
0.0,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.02,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.04,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.06,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.08,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.1,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.12,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.14,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.16,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.18,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.2,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.22,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.24,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.26,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.28,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.3,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.32,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.34,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.36,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.38,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.4,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.42,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.44,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.46,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.48,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.5,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.52,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.54,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.56,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.58,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.6,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.62,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.64,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.66,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.68,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.7,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.72,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.74,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.76,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.78,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.8,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.82,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.84,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.86,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.88,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.9,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.92,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.94,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.96,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
0.98,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
1.0,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
1.02,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
1.04,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
1.06,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
1.08,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
1.1,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
1.12,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
1.14,8.746,15.368,5.344,0.0,7.64,19.74,0.0,7.64,19.74,0.0
